axis,variant,k,alpha,beta,dH_median,dH_p75,dH_p90,n_pairs,std_median,std_max,iqr_median,iqr_max,band_45_55_median,band_45_55_max,companies_median,n_cuts,n_scored_rows,coverage_median,coverage_min,coverage_invariante,saturation_frac,alpha_changed_rows,alpha_influence_median,beta_changed_rows,beta_influence_median,mora_castigo_median,mora_castigo_p90,mult_castigo_median,mult_castigo_p90,reactivity_months,band_changes_last_cut,band_changes_panel
k,a,0.0,3.0,0.25,2.3024220840581586,7.103075041107501,16.508067446469195,10022,28.761231089216988,29.68643685985907,47.85979267749177,53.26303938030978,64.5,98,629.0,24,15116,629.0,216,True,,,,,,,,,,5.0,,
k,a,13.744725,3.0,0.25,2.3165441989943076,7.118838786548526,16.54000760576384,10022,28.73655005310297,29.626856512985185,47.82054808491998,52.7992641169838,65.0,98,629.0,24,15116,629.0,216,True,,,,,,,,,,5.0,,
k,a,33.04460817847671,3.0,0.25,2.3306459116398663,7.119667053500413,16.507967661460533,10022,28.74145231729417,29.586609860642234,47.432666034346674,52.13610543925384,65.5,98,629.0,24,15116,629.0,216,True,,,,,,,,,,5.0,,
k,a,79.44474186781109,3.0,0.25,2.3462968193010667,7.14711755494459,16.507827560351632,10022,28.73323100459078,29.546572414860528,46.93580302641803,51.57165302646289,66.5,99,629.0,24,15116,629.0,216,True,,,,,,,,,,5.0,,
k,a,190.9983915183491,3.0,0.25,2.356497848021206,7.1703054969178694,16.54146383660005,10022,28.70682412545118,29.527826397910598,46.61397077004831,51.10171730004804,68.5,100,629.0,24,15116,629.0,216,True,,,,,,,,,,5.0,,
k,a,459.19194530579074,3.0,0.25,2.3593709612380316,7.16368183171912,16.44880365255339,10022,28.73731737501734,29.541988413147262,46.28719678860523,50.07851342130751,69.0,101,629.0,24,15116,629.0,216,True,,,,,,,,,,5.0,,
k,a,1103.9739180916579,3.0,0.25,2.365060953021145,7.117167350178702,16.25307981272356,10022,28.781600892887358,29.60845451137394,46.458966135360455,49.608627720305336,68.5,102,629.0,24,15116,629.0,216,True,,,,,,,,,,5.0,,
k,a,2654.1371735408725,3.0,0.25,2.378039507330733,7.014817456548436,16.163991600421856,10022,29.018782677389076,29.746540861714774,46.330348065828915,48.65225928031239,70.0,102,629.0,24,15116,629.0,216,True,,,,,,,,,,5.0,,
k,a,4178.45,3.0,0.25,2.356697789302526,6.994849121785883,16.12429271474768,10022,29.012553454812767,30.019337475247287,46.841221044557294,49.09871515191709,70.5,104,629.0,24,15116,629.0,216,True,,,,,,,,,,5.0,,
k,a,6380.987829992071,3.0,0.25,2.34763759195741,6.949769843910431,15.786807931396309,10022,29.14643809037746,30.37039439290606,46.72863064825084,49.09166552697612,70.5,104,629.0,24,15116,629.0,216,True,,,,,,,,,,5.0,,
k,a,15340.957540708621,3.0,0.25,2.2856141660062583,6.844918253313927,15.396511063286026,10022,29.3444625180852,30.979897238490096,46.81006711036109,52.49017650930876,72.5,105,629.0,24,15116,629.0,216,True,,,,,,,,,,5.0,,
k,a,36882.21706984782,3.0,0.25,2.217514527153842,6.635896392228117,14.867130796093495,10022,29.552172628410148,31.468125707621788,47.390263829309504,55.733708998028156,71.5,108,629.0,24,15116,629.0,216,True,,,,,,,,,,5.0,,
k,a,88670.99282282086,3.0,0.25,2.081164741301272,6.18242218413898,13.908083854756267,10022,29.813758754920535,32.020240500925425,46.92658262591666,59.4026777792224,73.5,109,629.0,24,15116,629.0,216,True,,,,,,,,,,5.0,,
k,a,213179.83550974177,3.0,0.25,1.8665187857772865,5.604305152105186,12.835042587669236,10022,30.055557080068407,32.694242718971594,48.50350668383143,60.743972462460626,80.5,115,629.0,24,15116,629.0,216,True,,,,,,,,,,5.0,,
k,a,512519.8311331461,3.0,0.25,1.6328558104064417,4.911978990649173,11.597945134136129,10022,30.370680412845207,33.35349975686064,49.70347181535783,58.88346176704323,70.5,124,629.0,24,15116,629.0,216,True,,,,,,,,,,6.0,,
k,a,1232183.0377467617,3.0,0.25,1.3698996555822944,4.292761200128032,10.064542502441956,10022,30.73284982211555,33.903135082774,50.11215544009427,58.64339734248816,72.0,114,629.0,24,15116,629.0,216,True,,,,,,,,,,6.0,,
k,a,2962373.251302366,3.0,0.25,1.1225987416425647,3.607316957131271,8.924492536752616,10022,31.0919176731367,34.3380727760233,51.092504161192146,58.63917917230242,70.5,112,629.0,24,15116,629.0,216,True,,,,,,,,,,11.0,,
k,a,7122038.699769315,3.0,0.25,0.8946270260752991,3.1143753302605672,7.9709329116469485,10022,31.404853963583236,34.653362397585575,52.45065671759405,58.793969874499,73.5,109,629.0,24,15116,629.0,216,True,,,,,,,,,,17.0,,
k,a,17122567.258771982,3.0,0.25,0.733858225195426,2.7798043976383973,7.404947156455078,10022,31.651931584664844,34.85665507716731,53.150679706962435,59.14669864124219,76.0,107,629.0,24,15116,629.0,216,True,,,,,,,,,,21.0,,
k,a,41165503.571423516,3.0,0.25,0.6236391914223027,2.548205814120273,7.02217385632258,10022,31.829720509404048,34.97088652295543,53.781893433650026,59.66903741310135,76.5,104,629.0,24,15116,629.0,216,True,,,,,,,,,,23.0,,
k,a,98968726.98343356,3.0,0.25,0.5566125541010312,2.439421885326559,6.893768577548248,10022,31.94465087628566,35.02719340133313,54.35298908780034,60.135007232485606,77.0,104,629.0,24,15116,629.0,216,True,,,,,,,,,,24.0,,
k,a,237937303.59030074,3.0,0.25,0.5074434257648662,2.3717760605808316,6.82342882666532,10022,32.01023072700026,35.05262957683122,54.53654653109035,60.78653028862244,75.5,107,629.0,24,15116,629.0,216,True,,,,,,,,,,24.0,,
k,a,572040907.9253857,3.0,0.25,0.4890850333111807,2.356719766524547,6.814346121484811,10022,32.04316364803,35.06360740274123,54.64806968095209,60.996560852310104,76.0,107,629.0,24,15116,629.0,216,True,,,,,,,,,,24.0,,
k,a,1375281619.9999957,3.0,0.25,0.4789769775808068,2.3463566600456627,6.790230539078536,10022,32.05816329126663,35.068246489867256,54.654701201096046,61.14816248805497,76.0,109,629.0,24,15116,629.0,216,True,,,,,,,,,,24.0,,
alpha,a,4178.45,0.0,0.25,1.0720482412789494,5.25558835147554,13.798811810072221,10022,32.346892893521506,35.07157711457855,53.45403873856277,60.67074262964679,68.5,105,629.0,24,15116,629.0,216,True,0.911418364646732,0,,,,,,,,,,
alpha,a,4178.45,0.006399656582555771,0.25,1.0690077517205019,5.233522578979505,13.748151874834713,10022,32.234036622366716,34.94905944903055,53.013624027784076,60.1399306775199,69.0,107,629.0,24,15116,629.0,216,True,0.8658375231542736,0,,,,,,,,,,
alpha,a,4178.45,0.021352668374736865,0.25,1.125548691299299,5.193133121390317,13.689481303841246,10022,31.98938817465409,34.671354993037944,52.05470109004156,59.04469290987184,68.5,106,629.0,24,15116,629.0,216,True,0.8164858428155597,3047,1.6408771838405776,,,,,,,,,
alpha,a,4178.45,0.07124389267453544,0.25,1.3907282676275097,5.170684449118873,13.491147340559435,10022,31.32971581434655,33.842247148224324,49.432130399368276,56.31982788150306,72.5,105,629.0,24,15116,629.0,216,True,0.7247287642233395,7327,2.7601290702027272,,,,,,,,,
alpha,a,4178.45,0.2377076323362922,0.25,1.7639333237167953,5.594395803991834,13.35486397432194,10022,29.966044185929583,31.894003908769076,45.35822059553323,50.55251891385231,65.5,101,629.0,24,15116,629.0,216,True,0.5817015083355385,8974,5.101996624463688,,,,,,,,,
alpha,a,4178.45,0.7931194710128794,0.25,2.117633143571723,6.44808595802794,14.619966074434705,10022,28.729927368664306,29.767703258915446,41.844061014197734,46.158145741267674,67.0,101,629.0,24,15116,629.0,216,True,0.4104260386345594,9748,7.49590878813794,,,,,,,,,
alpha,a,4178.45,2.6462696595699953,0.25,2.3264252563100207,6.939182114170798,15.800863309804331,10022,28.933417382820704,29.910087357738462,46.0365491629832,48.303097209638295,72.0,108,629.0,24,15116,629.0,216,True,0.2630325482931993,10100,9.190760904122735,,,,,,,,,
alpha,a,4178.45,3.0,0.25,2.356697789302526,6.994849121785883,16.12429271474768,10022,29.012553454812767,30.019337475247287,46.841221044557294,49.09871515191709,70.5,104,629.0,24,15116,629.0,216,True,0.25013231013495635,10115,9.394111933239145,,,,,,,,,
alpha,a,4178.45,8.82936728588646,0.25,2.408350969582626,7.156368029858001,16.299845851109403,10022,29.75683155970178,30.805215861469932,50.15767954916764,53.77120413902104,66.5,104,629.0,24,15116,629.0,216,True,0.1674384757872453,10275,9.926067635520312,,,,,,,,,
alpha,a,4178.45,29.459479455222954,0.25,2.398315985069652,7.206144252781364,16.383439375125388,10022,30.190333458393916,30.88227381165679,50.5415527788844,54.5712067093909,72.0,109,629.0,24,15116,629.0,216,True,0.10743582958454617,10363,10.202063119475655,,,,,,,,,
alpha,a,4178.45,98.29253916755269,0.25,2.392769769524495,7.171469463357811,16.299845851109403,10022,30.45506993316677,31.078014979047392,51.34200637927171,55.091527034575215,70.5,111,629.0,24,15116,629.0,216,True,0.06794125430007938,10418,10.250766600033586,,,,,,,,,
alpha,a,4178.45,327.95634663843254,0.25,2.3951898220747703,7.1498778603204975,16.19929122171244,10022,30.586086946243007,31.249442118578266,51.13883833037586,55.33242687361015,70.0,110,629.0,24,15116,629.0,216,True,0.039693040486901296,10439,10.259394262956562,,,,,,,,,
alpha,a,4178.45,1094.2373267729436,0.25,2.3889180574870963,7.118929223428931,16.19421249132451,10022,30.683658117406203,31.31146776194322,51.12226658067716,55.283568022181285,70.0,112,629.0,24,15116,629.0,216,True,0.020706536120666842,10445,10.265535794644709,,,,,,,,,
alpha,a,4178.45,3650.9594632826725,0.25,2.379606636568741,7.106644618606998,16.16500354525139,10022,30.775264624565494,31.315341043737025,51.53172985397721,55.283568022181285,70.0,113,629.0,24,15116,629.0,216,True,0.009989415189203493,10446,10.265959539716064,,,,,,,,,
alpha,a,4178.45,12181.54844145541,0.25,2.3798887018950725,7.105027894860423,16.16500354525139,10022,30.807060558723478,31.339382126693074,51.53172985397721,55.52412795784525,70.0,113,629.0,24,15116,629.0,216,True,0.004101614183646467,10446,10.265959539716064,,,,,,,,,
alpha,a,4178.45,40644.144073323536,0.25,2.3791910297081067,7.105027894860423,16.16500354525139,10022,30.81522876446747,31.34975357793504,51.60651202534241,55.52412795784525,70.0,113,629.0,24,15116,629.0,216,True,0.001521566551997883,10446,10.265959539716064,,,,,,,,,
alpha,a,4178.45,135610.54700002584,0.25,2.3791910297081067,7.105027894860423,16.16500354525139,10022,30.822026657779453,31.34975357793504,51.60651202534241,55.52412795784525,70.0,113,629.0,24,15116,629.0,216,True,0.0006615506747816883,10446,10.265959539716064,,,,,,,,,
alpha,a,4178.45,452469.12875,0.25,2.3791910297081067,7.105027894860423,16.16500354525139,10022,30.82310886016396,31.34975357793504,51.60651202534241,55.52412795784525,70.0,113,629.0,24,15116,629.0,216,True,0.0,10446,10.265959539716064,,,,,,,,,
alpha,a,4178.45,452469.1287500011,0.25,2.3791910297081067,7.105027894860423,16.16500354525139,10022,30.82310886016396,31.34975357793504,51.60651202534241,55.52412795784525,70.0,113,629.0,24,15116,629.0,216,True,0.0,10446,10.265959539716064,,,,,,,,,
beta,a,4178.45,3.0,0.0,2.4236971551360718,7.15817929601524,16.481410216772836,10022,29.32396725537377,30.194281305489312,47.24862810006336,49.902916910141265,70.0,111,629.0,24,15116,629.0,216,True,,,,0,,0.0,0.0,0.7392137991949956,15.517258316951226,,,
beta,a,4178.45,3.0,0.05,2.4035164892207916,7.1272576737171365,16.388327676762557,10022,29.249248122565586,30.149367079982326,47.23282800381347,49.366306661493724,69.5,108,629.0,24,15116,629.0,216,True,,,,734,1.3534698653296253,0.11952408447475958,0.7762089472323105,0.7325721131680801,15.348589592016197,,,
beta,a,4178.45,3.0,0.1,2.3977654573210145,7.084325951910865,16.282923620482475,10022,29.17927768876482,30.105767955220248,47.10554433101045,48.81168540119738,68.5,105,629.0,24,15116,629.0,216,True,,,,2001,1.6677861423738776,0.2390481689495154,1.552417894464621,0.7282650922282086,15.121978913688832,,,
beta,a,4178.45,3.0,0.15,2.3769194850808253,7.054383261751413,16.21275898226795,10022,29.11409014722028,30.071944241247767,46.983111724167856,48.911570864275575,70.0,106,629.0,24,15116,629.0,216,True,,,,3023,1.9163860563587676,0.35857225342427496,2.3286268416969316,0.7192049895351325,14.940034335053797,,,
beta,a,4178.45,3.0,0.2,2.3641369934158765,7.016408604902731,16.185271185803366,10022,29.053717624062504,30.045016983950244,46.80934003467732,48.65400620549648,69.5,107,629.0,24,15116,629.0,216,True,,,,3748,2.108576942742822,0.4780963378990308,3.104835788929242,0.712648860686558,14.740887254892757,,,
beta,a,4178.45,3.0,0.25,2.356697789302526,6.994849121785883,16.12429271474768,10022,29.012553454812767,30.019337475247287,46.841221044557294,49.09871515191709,70.5,104,629.0,24,15116,629.0,216,True,,,,4378,2.3358991832756537,0.5976204223737903,3.8810447361615523,0.707058871052566,14.496944526636696,,,
beta,a,4178.45,3.0,0.3,2.3458794086822152,6.965368398474039,16.006362297685317,10022,28.978308626280892,29.99490891984,46.798118560005584,49.47289233174799,72.0,105,629.0,24,15116,629.0,216,True,,,,4877,2.546195540794862,0.7171445068485461,4.657253683393863,0.7004891836856753,14.30290488781828,,,
beta,a,4178.45,3.0,0.35,2.3261202703948474,6.943420557819657,15.858207985252072,10022,28.9632097896953,29.971734376508675,46.721872235808306,49.37014390588698,73.5,107,629.0,24,15116,629.0,216,True,,,,5267,2.7228886170996915,0.8366685913233057,5.433462630626174,0.6944490218880524,14.119746762156588,,,
beta,a,4178.45,3.0,0.4,2.321218504704106,6.905221885589379,15.780821303983185,10022,28.954911571929824,29.949816756238594,46.77072836659176,49.33420524503601,73.5,107,629.0,24,15116,629.0,216,True,,,,5599,2.9130828299850435,0.9561926757980616,6.209671577858485,0.6880383753373402,13.898464286139788,,,
beta,a,4178.45,3.0,0.5,2.3187184903281297,6.859899405435434,15.57567138393394,10022,28.927511099871033,29.909763179172398,46.97346642858393,49.31384681565596,74.5,107,629.0,24,15116,629.0,216,True,,,,6136,3.277416458845579,1.1952408447475806,7.762089472323106,0.6723012201562262,13.512487334896798,,,
beta,a,4178.45,3.0,0.6,2.2973466863584076,6.800690550351251,15.500330049728273,10022,28.94007108329953,29.87476845458753,47.06581156246594,49.728621674540676,73.0,104,629.0,24,15116,629.0,216,True,,,,6559,3.605081357436923,1.434289013697096,9.314507366787726,0.6552561743441481,13.085845060463976,,,
beta,a,4178.45,3.0,0.75,2.2937333181468453,6.708478888302716,15.19837500696628,10022,29.00002101940302,29.831799956760186,47.485844118844156,49.84193750813957,75.5,111,629.0,24,15116,629.0,216,True,,,,7045,4.081763794518224,1.7928612671213673,11.64313420848466,0.6274008128850574,12.592261830029344,,,
beta,a,4178.45,3.0,0.9,2.281275761425877,6.622798298591296,14.825967217808566,10022,29.061598170123588,29.800302733917782,48.09900096341559,49.87615056120265,74.0,107,629.0,24,15116,629.0,216,True,,,,7393,4.597442047226831,2.151433520545642,13.971761050181591,0.5845909358389133,12.17086306995193,,,
beta,a,4178.45,3.0,1.0,2.262837850629983,6.575446475286677,14.724506604260633,10022,29.110784625454656,29.807819749689294,48.67144042103753,50.52500217287886,75.0,108,629.0,24,15116,629.0,216,True,,,,7577,4.922386540484489,2.3904816894951577,15.524178944646213,0.5485853506485818,11.871226963786285,,,
referencia_000,a,0.0,0.0,0.0,0.9413759634544139,5.292559822954803,14.3972119115964,10022,33.00151007608808,35.36488751600289,53.460834853665105,61.61566250397199,68.0,102,629.0,24,15116,629.0,216,,,,,,,,,,,,,
actual,a,4178.45,3.0,0.25,2.356697789302526,6.994849121785883,16.12429271474768,10022,29.012553454812767,30.019337475247287,46.841221044557294,49.09871515191709,70.5,104,629.0,24,15116,629.0,216,,,,,,,0.5976204223737903,3.8810447361615523,0.707058871052566,14.496944526636696,5.0,,
interaccion_k_por_alpha,a,0.0,0.0,0.25,,5.1421733472755315,,,32.63441287649947,,52.96671734691021,,,,,,,,,,,,,,,,,,,5.0,,
interaccion_k_por_alpha,a,0.0,0.01996742797159399,0.25,,5.109143462248145,,,32.197397919806754,,51.326498052060884,,,,,,,,,,,,,,,,,,,5.0,,
